,country,PDI,IDV,MAS,UAI,num_u,num_q,num_a,num_tp_c,num_tp_e,perc_a,perc_q,perc_tp_c,perc_tp_e,GNI,Internet,EPI,WVS
43,Malta,56,59,47,96,49,2.04537683619036,3.3411564607884503,4.002416737433459,1.41421356237309,0.244897959183673,0.42857142857142894,0.326530612244898,0.12244897959183698,19760.0,69.2,Não Informado,-0.03
44,Mexico,81,30,69,82,495,1.67597534173448,1.8090096021517599,2.39067365041143,1.88043103063485,0.23636363636363603,0.250505050505051,0.21414141414141397,0.0282828282828283,9600.0,35.0,49.83,1.03
45,Morocco,70,25,53,68,75,1.23841620097549,1.49843723387077,2.30420263108709,1.0,0.17333333333333303,0.266666666666667,0.16,0.0133333333333333,2950.0,53.0,42.43,-1.04
46,Netherlands,38,80,14,53,2220,1.79767726272933,2.2465993382067,3.2142965966795702,3.0923756100900603,0.276126126126126,0.281081081081081,0.278378378378378,0.0495495495495495,48250.0,92.3,68.99,1.39
47,New Zealand,22,79,58,49,743,2.13504258039882,2.40322210489707,3.42226330930434,2.59126945722224,0.34320323014804804,0.34589502018842494,0.35127860026917895,0.0484522207267833,30620.0,86.0,Não Informado,1.86
48,Nigeria,80,30,60,55,83,1.47787107640375,1.3392839547026298,2.1042960396854697,1.0,0.180722891566265,0.373493975903614,0.20481927710843398,0.036144578313253004,1430.0,28.4,Não Informado,0.28
49,Norway,31,69,8,50,834,2.0216659338562804,2.0931870458468897,3.1233322580206604,2.19931629447969,0.303357314148681,0.27098321342925696,0.267386091127098,0.0443645083932854,98860.0,94.0,64.33,2.17
50,Pakistan,55,14,50,70,630,1.70979857136943,1.5462320130200702,2.5733862813630197,1.59488553429054,0.180952380952381,0.292063492063492,0.18730158730158702,0.0206349206349206,1260.0,9.0,Não Informado,1.25
51,Panama,95,11,44,86,18,1.5874010519681998,1.6437518295172302,1.0,Não Informado,0.277777777777778,0.166666666666667,0.0555555555555556,0.0,9850.0,42.7,43.7,Não Informado
52,Peru,64,16,42,87,101,1.8617696949504199,2.28232282853185,3.6968897303267503,2.17202531760487,0.267326732673267,0.267326732673267,0.24752475247524802,0.0594059405940594,5880.0,36.0,51.46,0.03
53,Philippines,94,32,64,44,393,1.99363777319807,1.86234853787133,2.9535296453700095,2.52767323124955,0.213740458015267,0.36641221374045796,0.287531806615776,0.0229007633587786,2470.0,29.0,Não Informado,-0.11
54,Poland,68,60,64,93,1443,1.77286388768043,1.9830689177076202,2.7356074784883,1.92806483652767,0.25987525987526,0.319473319473319,0.267498267498267,0.0311850311850312,12660.0,64.9,64.26,-0.14
55,Portugal,63,27,31,104,621,1.53249234686156,1.75439764723024,2.59650072250751,2.41197782101093,0.246376811594203,0.27536231884058004,0.23510466988727896,0.0273752012882448,20580.0,57.8,56.83,0.49
56,Romania,90,30,42,90,793,1.9855680690413502,2.0405998121300803,2.81760031804241,3.4741812746482004,0.22950819672131098,0.290037831021438,0.258511979823455,0.0302648171500631,8150.0,44.0,58.63,-1.55
57,Russia,93,39,36,95,1900,1.6806930162304101,1.8588686933978102,2.79886210708008,2.05490773960957,0.208947368421053,0.243157894736842,0.195263157894737,0.0263157894736842,12700.0,49.0,50.44,-1.42
58,Saudi Arabia,95,25,60,80,45,1.9422848721291799,2.03324422782702,2.39308470586571,1.0,0.266666666666667,0.33333333333333304,0.222222222222222,0.0444444444444444,21210.0,47.5,39.48,0.15
59,Serbia,86,25,43,92,266,1.6964921573190799,2.70062898845962,3.1747613657626896,3.8794127095498596,0.24812030075188,0.281954887218045,0.24436090225563897,0.0413533834586466,5280.0,42.2,Não Informado,-0.62
60,Singapore,74,20,48,8,448,2.18706448061497,2.39293464981995,3.84453654370624,5.558534665854861,0.263392857142857,0.299107142857143,0.265625,0.0334821428571429,47210.0,71.0,59.58,Não Informado
61,Slovakia,104,52,110,51,190,2.3347810818593504,1.7933261438143,3.01412798328265,2.78315768371374,0.289473684210526,0.315789473684211,0.315789473684211,0.0210526315789474,17180.0,74.4,55.96,-0.43
62,Slovenia,71,27,19,88,187,1.91141457984078,2.4798558717537205,3.4886983081507004,2.07600018024928,0.262032085561497,0.3208556149732619,0.28342245989304804,0.0427807486631016,22810.0,69.0,60.6,0.36
