,country,PDI,IDV,MAS,UAI,num_u,num_q,num_a,num_tp_c,num_tp_e,perc_a,perc_q,perc_tp_c,perc_tp_e,GNI,Internet,EPI,WVS
35,Jamaica,45,39,68,13,109,2.96267908718216,3.72332303658472,13.834381963887802,6.710676472755769,0.39449541284403705,0.541284403669725,0.13761467889908302,0.0642201834862385,5140.0,37.5,Não Informado,Não Informado
36,Japan,54,46,95,92,2692,3.29964226479091,4.71613061381875,10.056809563894,4.24187937569369,0.448736998514116,0.42830609212481396,0.19242199108469502,0.0861812778603269,47870.0,79.1,52.88,-0.05
37,Kuwait,90,25,40,80,168,3.36355389437332,4.10645603616518,9.62869549760468,7.532594021417941,0.41071428571428603,0.595238095238095,0.18452380952381,0.0773809523809524,44100.0,74.2,41.8,Não Informado
38,Latvia,44,70,40,63,673,3.6305465018134906,6.89953103138776,10.0146400716603,5.093772726108,0.569093610698366,0.557206537890045,0.32095096582466603,0.108469539375929,14200.0,71.7,59.43,-1.27
39,Lebanon,75,40,65,50,401,4.49752007323031,6.33277316862995,9.808418770336079,3.8111085100312,0.5511221945137161,0.6658354114713221,0.29675810473815506,0.119700748129676,9190.0,52.0,Não Informado,Não Informado
40,Lithuania,42,60,40,63,850,3.90091209102024,5.379179841190809,8.84585464731373,3.16332980003821,0.601176470588235,0.5694117647058821,0.297647058823529,0.12705882352941197,13920.0,65.1,Não Informado,-1.0
41,Luxembourg,40,60,50,70,180,3.65944938200823,6.778646290046459,14.6630337072318,5.47480973809701,0.5333333333333329,0.5111111111111111,0.272222222222222,0.12777777777777802,76960.0,90.9,Não Informado,1.13
42,Malaysia,104,26,50,36,1554,3.53181486296681,4.51903530422885,8.53209641075429,3.83797781990604,0.40540540540540504,0.562419562419562,0.187902187902188,0.0733590733590734,9800.0,61.0,59.73,0.09
43,Malta,56,59,47,96,255,5.32650539882758,5.47211612521693,7.93048919205073,4.08437263887501,0.5686274509803921,0.7254901960784309,0.30588235294117605,0.109803921568627,19760.0,69.2,Não Informado,-0.03
44,Mexico,81,30,69,82,2973,2.8573045510424198,4.09712291005668,7.4580316920429,3.2925053369921704,0.47359569458459494,0.4540867810292629,0.182980154725866,0.0639085099226371,9600.0,35.0,49.83,1.03
45,Morocco,70,25,53,68,547,3.2968580352653505,4.6596520510125705,10.435336524268301,7.73253449932472,0.444241316270567,0.497257769652651,0.16636197440585002,0.0712979890310786,2950.0,53.0,42.43,-1.04
46,Netherlands,38,80,14,53,9298,3.4509534334467,6.83753931619313,11.8629376474036,5.13631001972415,0.6167993116799311,0.595396859539686,0.328027532802753,0.149709614970961,48250.0,92.3,68.99,1.39
47,New Zealand,22,79,58,49,2883,3.89430645933828,7.34446591899781,11.7799290227912,4.52523160027503,0.618106139438085,0.626430801248699,0.348942074228234,0.156087408949011,30620.0,86.0,Não Informado,1.86
48,Nigeria,80,30,60,55,705,3.1681042485232402,3.37420921634358,5.67276931719375,3.11353906201614,0.417021276595745,0.4780141843971629,0.123404255319149,0.0453900709219858,1430.0,28.4,Não Informado,0.28
49,Norway,31,69,8,50,3128,3.7730296800768297,6.744436247899849,9.812689586776472,5.03462948933044,0.599744245524297,0.588235294117647,0.3411125319693089,0.124680306905371,98860.0,94.0,64.33,2.17
50,Pakistan,55,14,50,70,4809,3.92885707132352,5.30641884400399,10.0139786965561,4.62206232002029,0.474318985236016,0.608026616760241,0.213557912247869,0.10126845498024499,1260.0,9.0,Não Informado,1.25
51,Panama,95,11,44,86,116,2.1165640315611203,2.64804023597127,3.85223318359223,6.08276253029822,0.47413793103448293,0.508620689655172,0.146551724137931,0.0172413793103448,9850.0,42.7,43.7,Não Informado
52,Peru,64,16,42,87,534,3.64573964566485,5.773154383842231,10.6962394332741,7.50435473323055,0.47752808988764,0.468164794007491,0.228464419475655,0.0936329588014981,5880.0,36.0,51.46,0.03
53,Philippines,94,32,64,44,2860,3.94918726622222,4.956664945294079,9.571422565813881,4.89500613387368,0.43251748251748295,0.574125874125874,0.19895104895104895,0.077972027972028,2470.0,29.0,Não Informado,-0.11
54,Poland,68,60,64,93,6069,3.55907983216881,6.637927783896671,10.094507179563001,4.91759062800005,0.5832921403855661,0.567144504860768,0.31125391333003805,0.126379963750206,12660.0,64.9,64.26,-0.14
