Cod_setor,Cod_Grandes Regiões,Nome_Grande_Regiao,Cod_UF,Nome_da_UF,Cod_meso,Nome_da_meso,Cod_micro,Nome_da_micro,Cod_RM,Nome_da_RM,Cod_municipio,Nome_do_municipio,Cod_distrito,Nome_do_distrito,Cod_subdistrito,Nome_do_subdistrito,Cod_bairro,Nome_do_bairro,Situacao_setor,Tipo_setor,V001,V002,V003,V004,V005,V006,V007,V008,V009,V010,V011,V012,X34
292740805060042,2,Região Nordeste,29,Bahia,2905,Metropolitana de Salvador,29021,Salvador,15,RM Salvador,2927408,SALVADOR,292740805,SALVADOR,29274080506,AMARALINA,2927408000,SALVADOR (todos os setores),1,1,327,1040,3.18,2.88,630.67,355175.44,678.39,349659.57,404.26,281415.11,622.09,297571.23,NA
292740805060043,2,Região Nordeste,29,Bahia,2905,Metropolitana de Salvador,29021,Salvador,15,RM Salvador,2927408,SALVADOR,292740805,SALVADOR,29274080506,AMARALINA,2927408000,SALVADOR (todos os setores),1,0,209,590,2.82,1.48,6457.7,39136425.11,7141.06,38394041.03,3744.26,25796101.6,5321.84,28275829.13,NA
292740805060044,2,Região Nordeste,29,Bahia,2905,Metropolitana de Salvador,29021,Salvador,15,RM Salvador,2927408,SALVADOR,292740805,SALVADOR,29274080506,AMARALINA,2927408000,SALVADOR (todos os setores),1,0,334,1080,3.23,3.42,652.74,299809.72,696.54,289387.17,438.74,247459.89,640.38,232040.75,NA
292740805060045,2,Região Nordeste,29,Bahia,2905,Metropolitana de Salvador,29021,Salvador,15,RM Salvador,2927408,SALVADOR,292740805,SALVADOR,29274080506,AMARALINA,2927408000,SALVADOR (todos os setores),1,1,203,649,3.2,2.88,492.59,110115.21,546.43,92637.25,315.85,98705.8,520.17,56151.69,NA
292740805060046,2,Região Nordeste,29,Bahia,2905,Metropolitana de Salvador,29021,Salvador,15,RM Salvador,2927408,SALVADOR,292740805,SALVADOR,29274080506,AMARALINA,2927408000,SALVADOR (todos os setores),1,1,272,839,3.08,2.25,938.03,2900445.01,1016.51,3063986.39,533.3,1309411.09,837.23,1802244.32,NA
292740805060047,2,Região Nordeste,29,Bahia,2905,Metropolitana de Salvador,29021,Salvador,15,RM Salvador,2927408,SALVADOR,292740805,SALVADOR,29274080506,AMARALINA,2927408000,SALVADOR (todos os setores),1,1,259,796,3.07,3.2,734.69,1277114.48,845.72,1376651.22,426.57,657421.48,762.75,919799.06,NA
292740805060048,2,Região Nordeste,29,Bahia,2905,Metropolitana de Salvador,29021,Salvador,15,RM Salvador,2927408,SALVADOR,292740805,SALVADOR,29274080506,AMARALINA,2927408000,SALVADOR (todos os setores),1,1,244,833,3.41,4.1,773.66,1342309.22,850.33,1410443.91,479.68,892628.42,780.31,1218232.02,NA
292740805060049,2,Região Nordeste,29,Bahia,2905,Metropolitana de Salvador,29021,Salvador,15,RM Salvador,2927408,SALVADOR,292740805,SALVADOR,29274080506,AMARALINA,2927408000,SALVADOR (todos os setores),1,1,240,728,3.03,2.76,893.13,3751698.32,996.98,4085958.27,547.14,1722265.07,824.68,2368562.1,NA
292740805060050,2,Região Nordeste,29,Bahia,2905,Metropolitana de Salvador,29021,Salvador,15,RM Salvador,2927408,SALVADOR,292740805,SALVADOR,29274080506,AMARALINA,2927408000,SALVADOR (todos os setores),1,0,250,861,3.44,3.38,769.57,2181803.18,903.25,2441272.97,465.05,1110933.11,761.27,1594134.19,NA
292740805060051,2,Região Nordeste,29,Bahia,2905,Metropolitana de Salvador,29021,Salvador,15,RM Salvador,2927408,SALVADOR,292740805,SALVADOR,29274080506,AMARALINA,2927408000,SALVADOR (todos os setores),1,0,278,805,2.9,2.21,712.79,1708533.22,872.93,1953676.17,523.37,938015.67,816.09,1224394.57,NA
